scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct
ADR,80,6.0,6.0,85.63018998235609,8.231539984784146,15.233157775847003,36.10760631223456,119.42633508333647,0.0,0.0,,
Friis,80,0.0,6.0,84.13558297766723,8.293919593380563,15.044929246304168,36.48468132374513,130.78406854688586,-1.0443090806127495,-9.510241987769199,,
SPLMSF,80,4.0,6.0,86.59224207237783,8.57404779504999,15.559380619573945,69.18928691975103,208.53803676625319,-91.61970007495957,-74.61645843919935,,
SPLMSFT,80,3.0,6.0,82.91669589333793,8.415970172608224,15.008239959351403,53.36266990475573,171.06690542968605,-47.78789112551758,-43.2405217076405,,
MLR,80,3.0,6.0,87.13235095746576,8.407364042021658,15.023322041027415,55.53651526859599,174.42019284207345,-53.80835491656012,-46.04835082677694,,
ANN,80,1.0,6.0,75.73125131520021,8.100451619517301,13.816905676420301,32.3249871760182,110.53585440261583,10.475962054938742,7.44432178590829,,
SVR,80,2.0,6.0,90.63361624751124,8.194482364176913,14.503591399080568,38.391412659396806,128.56584297453773,-6.325000686596092,-7.652841297376884,,
RF,80,2.0,6.0,93.26887278574242,8.236914095169237,14.468462618350005,40.702441101675916,136.35362837702945,-12.72539295379562,-14.173836350149232,,
ADR,85,7.0,7.0,92.60736080460576,8.399756114669271,15.809169388358393,47.44672237981693,153.68341102771765,0.0,0.0,,
Friis,85,1.0,7.0,90.07947856021323,8.342491623186373,15.922634943316815,45.38596397338027,142.5663341121117,4.3433103554341015,7.23375206293471,,
SPLMSF,85,5.0,7.0,91.6399130214263,8.726405982744573,16.113549769290135,82.75137083820371,240.75406616198953,-74.40903541401377,-56.65585800836253,,
SPLMSFT,85,4.0,7.0,89.70609659369892,8.575504632202575,15.589688418206967,67.36608712575892,208.63123014250024,-41.98259383753632,-35.753903916716446,,
MLR,85,3.0,7.0,87.13235095746576,8.407364042021658,15.023322041027415,55.53651526859599,174.42019284207345,-17.05026708487735,-13.49318164900426,,
ANN,85,2.0,7.0,92.13631679193668,8.251455488229295,14.433400757266657,42.00795095375372,138.6109170412177,11.462902289699093,9.807495737963253,,
SVR,85,2.0,7.0,90.63361624751124,8.194482364176913,14.503591399080568,38.391412659396806,128.56584297453773,19.085216567608697,16.34370807181643,,
RF,85,2.0,7.0,93.26887278574242,8.236914095169237,14.468462618350005,40.702441101675916,136.35362837702945,14.214430291205792,11.276287098783024,,
ADR,90,8.0,8.0,96.57103699826799,8.571117933665349,16.377929228324334,61.4162701748357,189.78119566402094,0.0,0.0,,
Friis,90,2.0,8.0,96.21438168054259,8.526538716796253,16.46149996859177,60.46820040858443,194.55428695375346,1.543678513124246,-2.515049646005268,,
SPLMSF,90,6.0,8.0,95.12391209336707,8.875569920089784,16.63937368221234,96.2384908983715,270.4654538155644,-56.69869014254079,-42.51435863771395,,
SPLMSFT,90,5.0,8.0,94.2708530051313,8.731704553425455,16.157417098999325,82.68052965902429,245.69498923559212,-34.6231697621085,-29.46224117512578,,
MLR,90,4.0,8.0,93.27750589479477,8.55915568193468,15.60671771402949,68.64892896794319,208.26975703193713,-11.776453979569332,-9.74204072391208,,
ANN,90,2.0,8.0,92.13631679193668,8.251455488229295,14.433400757266657,42.00795095375372,138.6109170412177,31.601266514283076,26.962775971436347,,
SVR,90,3.0,8.0,97.64100295144415,8.359056401180577,15.087565221200872,49.575223739109795,159.93336621109026,19.279982978480483,15.727495734494044,,
RF,90,3.0,8.0,97.97499635790712,8.392018690681098,15.075756579686917,52.45831268908188,168.8726757566111,14.585642306595485,11.017171556040367,,
ADR,95,9.0,9.0,98.20485288642605,8.853895420675217,16.66878389631427,82.49026389698052,263.9687035983877,0.0,0.0,,
Friis,95,3.0,9.0,98.08237065174578,8.714589414729163,16.989487133966545,80.27742168208412,260.37029528470373,2.682549564467326,1.3631950548041953,,
SPLMSF,95,7.0,9.0,97.3204987778755,9.023498243701876,17.12308639813442,108.88767276057571,296.5266745587671,-32.000635731462886,-12.334026919310253,,
SPLMSFT,95,6.0,9.0,96.9989154656753,8.885449434261572,16.692514158963665,98.05500519063324,279.0590549983003,-18.868579827906743,-5.716719896791877,,
MLR,95,5.0,9.0,96.75395099631474,8.710904156302439,16.167377838239755,82.57115590565877,240.76885433247182,-0.09806249229516495,8.788863584833546,,
ANN,95,3.0,9.0,97.19046257277442,8.407676992224806,15.036448219034847,54.12161558169728,172.46131829733505,34.390298897227375,34.6659979208276,,
SVR,95,3.0,9.0,97.64100295144415,8.359056401180577,15.087565221200872,49.575223739109795,159.93336621109026,39.901727310482705,39.411996940963455,,
RF,95,3.0,9.0,97.97499635790712,8.392018690681098,15.075756579686917,52.45831268908188,168.8726757566111,36.40666157330348,36.025493380631744,,
ADR,99,11.0,11.0,99.02715652366281,9.162755688409511,17.81278213103064,124.11450673367955,330.1627868539332,0.0,0.0,,
Friis,99,5.0,11.0,99.6028769835917,8.99272660562339,18.180693419712807,117.35465633193786,325.7529823183135,5.4464627702599975,1.3356455394746265,,
SPLMSF,99,12.0,11.0,99.88345302779321,9.815677726039075,18.741871799155653,153.1306495228043,389.4009890521386,-23.378526453306993,-17.942119632159784,,
SPLMSFT,99,9.0,11.0,99.62014320169641,9.306016737440176,18.04517545415819,132.1124334335301,338.7720132734051,-6.443990239603674,-2.607570193330335,,
MLR,99,7.0,11.0,99.34010672681066,9.027134940890182,17.135229733296026,109.3906245658823,297.7578595069416,11.863143604471007,9.814833360165386,,
ANN,99,4.0,11.0,99.21168922965688,8.550954228334943,15.656496141136683,67.63834763542654,205.605793679485,45.50326999199015,37.725933428576624,43.5,32.7
SVR,99,4.0,11.0,99.32607792460058,8.506196953591644,15.706932518921487,63.00181568775643,195.37000801800002,49.23895896960421,40.8261573390361,40.6,29.9
RF,99,4.0,11.0,99.35899165286268,8.539801330577932,15.688871609751807,66.06644566038136,203.58162796695683,46.76976334269743,38.33901454889794,38.7,27.5
